Wavelength (nm),Sum(calc),Cr I (1.6e-2),Cr II (1.6e-1),Fe I (1.1e-1),Fe II (5.9e-1),Fe III (7.9e-5),Ni I (2.7e-2),Ni II (8.6e-2),Ni III (2.9e-6),Mo I (1.4e-3)
199.28,1.400e-27,,,,,1.400e-27,,,,
199.3,2.397e-26,,,,,2.397e-26,,,,
199.32,5.822e-20,,,,5.822e-20,3.786e-25,,,,
199.35,3.995e-18,,,,3.995e-18,2.046e-23,,,,
199.37,6.058e-17,,,,6.058e-17,2.647e-22,,,,
199.4,3.079e-15,,,,3.079e-15,1.060e-20,,,,
199.42,3.823e-14,,,,3.823e-14,1.122e-19,,,,
199.45,1.440e-12,,,,1.440e-12,3.328e-18,,,,
199.47,1.464e-11,,,,1.464e-11,2.886e-17,,,,
199.5,4.085e-10,,,,4.085e-10,6.341e-16,,,,
199.52,3.400e-9,,,,3.400e-9,4.502e-15,,,,
199.55,7.030e-8,,,,7.030e-8,7.328e-14,,,,
199.57,4.792e-7,,,,4.792e-7,4.259e-13,,,,
199.6,7.339e-6,,,,7.339e-6,5.137e-12,,,,
199.62,4.096e-5,,,,4.096e-5,2.444e-11,,,,
199.65,4.648e-4,,,,4.648e-4,2.184e-10,,,,
199.67,2.124e-3,,,,2.124e-3,8.511e-10,,,,
199.69,8.960e-3,,,,8.960e-3,3.062e-9,,,,
199.72,6.682e-2,,,,6.682e-2,1.799e-8,,,,
199.74,2.308e-1,,,,2.308e-1,5.302e-8,,,,
199.77,1.275e+0,,,,1.275e+0,2.312e-7,,,,
199.79,3.607e+0,,,,3.607e+0,5.592e-7,,,,
199.82,1.477e+1,,,,1.477e+1,1.818e-6,,,,
199.84,3.419e+1,,,,3.419e+1,3.627e-6,,,,
199.87,1.037e+2,,,,1.037e+2,8.915e-6,,,,
199.89,1.966e+2,,,,1.966e+2,1.491e-5,,,,
199.92,4.419e+2,,,,4.419e+2,2.885e-5,,,,
199.94,6.860e+2,,,,6.860e+2,4.217e-5,,,,
199.97,1.142e+3,,,,1.142e+3,6.995e-5,2.205e-21,,,
199.99,1.452e+3,,,,1.452e+3,9.526e-5,3.850e-20,,,
200.02,1.791e+3,,,,1.791e+3,1.460e-4,2.420e-18,,,
200.04,1.864e+3,,,,1.864e+3,1.882e-4,3.465e-17,,,
200.06,1.791e+3,,,,1.791e+3,2.342e-4,4.581e-16,,,
200.09,1.452e+3,,,,1.452e+3,2.979e-4,1.898e-14,,,
200.11,1.142e+3,,,,1.142e+3,3.273e-4,2.057e-13,,,
200.14,6.860e+2,,,,6.860e+2,3.412e-4,6.327e-12,,,
200.16,4.419e+2,,,,4.419e+2,3.332e-4,5.623e-11,,,
200.19,1.966e+2,,,,1.966e+2,3.182e-4,1.284e-9,,,
200.21,1.037e+2,,,,1.037e+2,3.269e-4,9.355e-9,,,
200.24,3.419e+1,,,,3.419e+1,3.998e-4,1.586e-7,,,
200.26,1.477e+1,,,,1.477e+1,4.948e-4,9.473e-7,,,
200.29,3.607e+0,,,,3.607e+0,6.844e-4,1.192e-5,,,
200.31,1.276e+0,,,,1.275e+0,8.108e-4,5.838e-5,,,
200.34,2.327e-1,,,,2.312e-1,9.382e-4,5.453e-4,,,
200.36,7.171e-2,,,,6.857e-2,9.590e-4,2.190e-3,,,
200.39,3.712e-2,,,,2.103e-2,9.015e-4,1.518e-2,,,
200.41,9.269e-2,,,,4.186e-2,8.327e-4,4.999e-2,,,
200.44,4.628e-1,,,,2.048e-1,7.414e-4,2.573e-1,,,
200.46,1.248e+0,,,,5.522e-1,7.077e-4,6.947e-1,,,
200.48,3.109e+0,,,,1.377e+0,6.945e-4,1.732e+0,,,
200.51,1.055e+1,,,,4.670e+0,6.878e-4,5.875e+0,,,
200.53,2.156e+1,,,,9.545e+0,6.736e-4,1.201e+1,,,
200.56,5.428e+1,,,,2.404e+1,6.234e-4,3.024e+1,,,
200.58,9.097e+1,,,,4.028e+1,5.741e-4,5.069e+1,,,
200.61,1.701e+2,,,,7.530e+1,4.955e-4,9.475e+1,,,
200.63,2.337e+2,,,,1.035e+2,4.538e-4,1.302e+2,,,
200.66,3.243e+2,,,,1.436e+2,4.321e-4,1.807e+2,,,
200.68,3.653e+2,,,,1.618e+2,4.582e-4,2.036e+2,,,
200.71,3.764e+2,,,,1.667e+2,5.694e-4,2.097e+2,,,
200.73,3.476e+2,,,,1.539e+2,6.842e-4,1.937e+2,,,
200.76,2.660e+2,,,,1.178e+2,8.753e-4,1.481e+2,,,
200.78,2.016e+2,,,,8.945e+1,9.789e-4,1.122e+2,,,
200.81,1.158e+2,,,,5.213e+1,1.042e-3,6.369e+1,,,
200.83,7.503e+1,,,,3.549e+1,1.005e-3,3.954e+1,,,
200.85,5.079e+1,,,,2.811e+1,9.107e-4,2.268e+1,,,
200.88,4.930e+1,,,,4.081e+1,6.962e-4,8.484e+0,,,
200.9,7.663e+1,,,,7.264e+1,5.372e-4,3.989e+0,,,
200.93,1.763e+2,,,,1.752e+2,3.232e-4,1.108e+0,,,
200.95,2.924e+2,,,,2.920e+2,2.141e-4,4.270e-1,,,
200.98,5.441e+2,,,,5.440e+2,1.085e-4,8.806e-2,,,
201,7.465e+2,,,,7.465e+2,7.270e-5,2.786e-2,,,
201.03,1.035e+3,,,,1.035e+3,5.820e-5,4.582e-3,,,
201.05,1.165e+3,,,,1.165e+3,6.738e-5,2.548e-3,,,
201.08,1.200e+3,,,,1.200e+3,9.886e-5,1.192e-2,,,
201.1,1.109e+3,,,,1.109e+3,1.260e-4,4.337e-2,,,
201.13,8.492e+2,,,,8.489e+2,1.666e-4,2.633e-1,,,
201.15,6.443e+2,,,,6.435e+2,1.888e-4,7.944e-1,,,
201.18,3.697e+2,,,,3.661e+2,2.096e-4,3.591e+0,,,
201.2,2.366e+2,,,,2.277e+2,2.142e-4,8.894e+0,,,
201.22,1.512e+2,,,,1.309e+2,2.118e-4,2.036e+1,,,
201.25,1.101e+2,,,,4.924e+1,1.959e-4,6.082e+1,,,
201.27,1.378e+2,,,,2.349e+1,1.781e-4,1.143e+2,,,
201.3,2.621e+2,,,,8.040e+0,1.434e-4,2.540e+2,,,
201.32,3.985e+2,,,,6.555e+0,1.185e-4,3.920e+2,,,
201.35,6.631e+2,,,,1.496e+1,8.604e-5,6.481e+2,,,
201.37,8.518e+2,,,,3.069e+1,7.202e-5,8.211e+2,,,
201.4,1.091e+3,,,,8.094e+1,6.586e-5,1.010e+3,,,
201.42,1.191e+3,,,,1.404e+2,7.062e-5,1.051e+3,,,
201.45,1.238e+3,,,,2.771e+2,8.467e-5,9.614e+2,,,
201.47,1.216e+3,,,,3.949e+2,9.365e-5,8.211e+2,,,
201.5,1.139e+3,,,,5.798e+2,9.941e-5,5.590e+2,,,
201.52,1.071e+3,,,,6.788e+2,9.646e-5,3.920e+2,,,
201.55,9.402e+2,,,,7.417e+2,8.428e-5,1.985e+2,,,
201.57,8.274e+2,,,,7.131e+2,7.454e-5,1.143e+2,,,
201.59,6.947e+2,,,,6.339e+2,6.650e-5,6.082e+1,,,
201.62,4.798e+2,,,,4.594e+2,6.087e-5,2.036e+1,,,
201.64,3.473e+2,,,,3.384e+2,6.141e-5,8.894e+0,,,
201.67,1.982e+2,,,,1.960e+2,6.543e-5,2.215e+0,,,
201.69,1.443e+2,,,,1.435e+2,6.782e-5,7.944e-1,,,
201.72,1.436e+2,,,,1.435e+2,6.832e-5,1.472e-1,,,
201.74,2.021e+2,,,,2.021e+2,6.652e-5,4.334e-2,,,
201.77,3.841e+2,,,,3.841e+2,6.241e-5,5.974e-3,,,
201.79,5.620e+2,,,,5.620e+2,5.990e-5,1.445e-3,,,
201.82,8.715e+2,,,,8.715e+2,5.698e-5,1.481e-4,,,
201.84,1.062e+3,,,,1.062e+3,5.480e-5,2.941e-5,,,
201.87,1.237e+3,,,,1.237e+3,4.919e-5,2.243e-6,,,
201.89,1.250e+3,,,,1.250e+3,4.327e-5,3.656e-7,,,
201.92,1.125e+3,,,,1.125e+3,3.188e-5,2.075e-8,,,
201.94,9.904e+2,,,,9.904e+2,2.390e-5,2.777e-9,,,
201.96,8.616e+2,,,,8.616e+2,1.667e-5,3.451e-10,,,
201.99,7.498e+2,,,,7.498e+2,8.521e-6,5.685e-11,,,
202.01,7.449e+2,,,,7.449e+2,5.113e-6,3.626e-10,,,
202.04,8.038e+2,,,,8.038e+2,2.617e-6,7.352e-9,,,
202.06,8.426e+2,,,,8.426e+2,2.307e-6,4.970e-8,,,
202.09,8.311e+2,,,,8.311e+2,3.356e-6,7.549e-7,,,
202.11,7.602e+2,,,,7.602e+2,4.898e-6,4.200e-6,,,
202.14,5.799e+2,,,,5.799e+2,8.371e-6,4.761e-5,,,
202.16,4.401e+2,,,,4.401e+2,1.151e-5,2.179e-4,,,
202.19,2.516e+2,,,,2.516e+2,1.780e-5,1.844e-3,,,
202.21,1.572e+2,,,,1.572e+2,2.335e-5,6.945e-3,,,
202.24,6.707e+1,,,,6.702e+1,3.394e-5,4.387e-2,,,
202.26,3.456e+1,,,,3.443e+1,4.198e-5,1.360e-1,,,
202.29,1.159e+1,,,,1.094e+1,5.313e-5,6.413e-1,,,
202.31,6.258e+0,,,,4.622e+0,5.802e-5,1.637e+0,,,
202.34,6.864e+0,,,,1.095e+0,5.916e-5,5.769e+0,,,
202.36,1.251e+1,,,,3.802e-1,5.604e-5,1.213e+1,,,
202.38,2.376e+1,,,,1.220e-1,5.156e-5,2.364e+1,,,
202.41,5.581e+1,,,,1.916e-2,4.810e-5,5.579e+1,,,
202.43,9.019e+1,,,,5.057e-3,5.231e-5,9.018e+1,,,
202.46,1.624e+2,,,,5.918e-4,7.399e-5,1.624e+2,,,
202.48,2.214e+2,,,,1.284e-4,9.934e-5,2.214e+2,,,
202.51,3.165e+2,,,,1.120e-5,1.485e-4,3.165e+2,,,
202.53,3.785e+2,,,,1.998e-6,1.819e-4,3.785e+2,,,
202.56,4.636e+2,,,,1.299e-7,2.184e-4,4.636e+2,,,
202.58,5.134e+2,,,,1.904e-8,2.265e-4,5.134e+2,,,
202.61,5.715e+2,,,,9.230e-10,2.097e-4,5.715e+2,,,
202.63,5.910e+2,,,,1.115e-10,1.824e-4,5.910e+2,,,
202.66,5.742e+2,,,,1.139e-11,1.293e-4,5.742e+2,,,
202.68,5.272e+2,,,,6.747e-11,9.403e-5,5.272e+2,,,
202.71,4.124e+2,,,,1.591e-9,5.096e-5,4.124e+2,,,
202.73,3.214e+2,,,,1.193e-8,3.109e-5,3.214e+2,,,
202.75,2.331e+2,,,,8.272e-8,1.799e-5,2.331e+2,,,
202.78,1.251e+2,,,,1.307e-6,8.294e-6,1.251e+2,,,
202.8,7.517e+1,,,,7.467e-6,6.544e-6,7.517e+1,,,
202.83,3.031e+1,,,,8.822e-5,8.627e-6,3.031e+1,,,
202.85,1.502e+1,,,,4.154e-4,1.227e-5,1.502e+1,,,
202.88,4.533e+0,,,,3.670e-3,1.968e-5,4.529e+0,,,
202.9,1.862e+0,,,,1.424e-2,2.486e-5,1.848e+0,,,
202.93,5.105e-1,,,,9.410e-2,3.078e-5,4.164e-1,,,
202.95,4.407e-1,,,,3.008e-1,3.243e-5,1.399e-1,,,
202.98,1.510e+0,,,,1.486e+0,3.088e-5,2.353e-2,,,
203,3.921e+0,,,,3.915e+0,2.767e-5,6.505e-3,,,
203.03,1.447e+1,,,,1.447e+1,2.137e-5,8.172e-4,,,
203.05,3.140e+1,,,,3.140e+1,1.718e-5,1.860e-4,,,
203.08,8.679e+1,,,,8.679e+1,1.188e-5,1.744e-5,,,
203.1,1.552e+2,,,,1.552e+2,9.120e-6,3.266e-6,,,
203.12,2.567e+2,,,,2.567e+2,6.881e-6,5.659e-7,,,
203.15,4.726e+2,,,,4.726e+2,4.297e-6,3.526e-8,,,
203.17,6.442e+2,,,,6.442e+2,3.038e-6,5.027e-9,,,
203.2,8.868e+2,,,,8.868e+2,1.948e-6,2.338e-10,,,
203.22,9.960e+2,,,,9.960e+2,1.959e-6,2.744e-11,,,
203.25,1.025e+3,,,,1.025e+3,3.906e-6,9.530e-13,,,
203.27,9.490e+2,,,,9.490e+2,7.428e-6,9.204e-14,,,
203.3,7.306e+2,,,,7.306e+2,1.864e-5,2.387e-15,,,
203.32,5.571e+2,,,,5.571e+2,3.195e-5,1.897e-16,,,
203.35,3.210e+2,,,,3.210e+2,6.340e-5,3.673e-18,,,
203.37,2.020e+2,,,,2.020e+2,9.231e-5,2.403e-19,,,
203.4,8.890e+1,,,,8.890e+1,1.444e-4,2.289e-19,,,
203.42,5.006e+1,,,,5.006e+1,1.809e-4,2.214e-19,,,
203.45,3.127e+1,,,,3.127e+1,2.304e-4,2.100e-19,,,
203.47,3.982e+1,,,,3.982e+1,2.562e-4,2.024e-19,,,
203.49,6.481e+1,,,,6.481e+1,2.750e-4,1.949e-19,,,
203.52,1.368e+2,,,,1.368e+2,2.915e-4,1.835e-19,,,
203.54,2.084e+2,,,,2.084e+2,2.971e-4,1.759e-19,,,
203.57,3.406e+2,,,,3.406e+2,3.020e-4,1.646e-19,,,
203.59,4.293e+2,,,,4.293e+2,3.058e-4,1.570e-19,,,
203.62,5.257e+2,,,,5.257e+2,3.161e-4,1.457e-19,,,
203.64,5.464e+2,,,,5.464e+2,3.274e-4,1.381e-19,,,
203.67,5.010e+2,,,,5.010e+2,3.486e-4,1.267e-19,,,
203.69,4.293e+2,,,,4.293e+2,3.617e-4,1.192e-19,,,
203.72,2.948e+2,,,,2.947e+2,3.716e-4,1.078e-19,,,
203.74,2.083e+2,,,,2.083e+2,3.687e-4,1.003e-19,,,
203.77,1.074e+2,,,,1.074e+2,3.513e-4,8.890e-20,,,
203.79,6.342e+1,,,,6.342e+1,3.349e-4,8.133e-20,,,
203.82,2.882e+1,,,,2.882e+1,3.115e-4,6.998e-20,,,
203.84,2.365e+1,,,,2.365e+1,3.002e-4,6.241e-20,,,
203.86,3.334e+1,,,,3.334e+1,2.936e-4,5.484e-20,,,
203.89,8.812e+1,,,,8.812e+1,2.917e-4,4.348e-20,,,
203.91,1.673e+2,,,,1.673e+2,2.946e-4,3.591e-20,,,
203.94,3.848e+2,,,,3.848e+2,3.033e-4,2.456e-20,,,
203.96,6.100e+2,,,,6.100e+2,3.112e-4,1.699e-20,,,
203.99,1.055e+3,,,,1.055e+3,3.234e-4,5.637e-21,,,
204.01,1.380e+3,,,,1.380e+3,3.286e-4,9.145e-20,,,
204.04,1.789e+3,,,,1.789e+3,3.229e-4,5.179e-18,,,
204.06,1.932e+3,,,,1.932e+3,3.057e-4,6.943e-17,,,
204.09,1.877e+3,,,,1.877e+3,2.575e-4,2.953e-15,,,
204.11,1.672e+3,,,,1.672e+3,2.143e-4,3.271e-14,,,
204.14,1.218e+3,,,,1.218e+3,1.449e-4,1.045e-12,,,
204.16,8.958e+2,,,,8.958e+2,1.033e-4,9.564e-12,,,
204.19,4.891e+2,,,,4.891e+2,5.654e-5,2.295e-10,,,
204.21,2.968e+2,,,,2.968e+2,3.786e-5,1.735e-9,,,
204.23,1.668e+2,,,,1.668e+2,2.931e-5,1.216e-8,,,
204.26,6.084e+1,,,,6.084e+1,3.536e-5,1.954e-7,,,
204.28,2.821e+1,,,,2.821e+1,5.270e-5,1.131e-6,,,
204.31,7.715e+0,,,,7.714e+0,1.013e-4,1.365e-5,,,
204.33,2.952e+0,,,,2.952e+0,1.499e-4,6.528e-5,,,
204.36,6.060e-1,,,,6.052e-1,2.446e-4,5.917e-4,,,
204.38,1.938e-1,,,,1.911e-1,3.168e-4,2.338e-3,,,
204.41,4.571e-2,,,,2.937e-2,4.233e-4,1.592e-2,,,
204.43,6.012e-2,,,,7.653e-3,4.821e-4,5.198e-2,,,
204.46,2.672e-1,,,,8.816e-4,5.346e-4,2.658e-1,,,
204.48,7.178e-1,,,,1.896e-4,5.397e-4,7.171e-1,,,
204.51,2.754e+0,,,,1.637e-5,5.016e-4,2.754e+0,,,
204.53,6.139e+0,,,,2.906e-6,4.510e-4,6.138e+0,,,
204.56,1.771e+1,,,,1.892e-7,3.534e-4,1.770e+1,,,
204.58,3.261e+1,,,,3.573e-8,2.843e-4,3.261e+1,,,
204.61,7.064e+1,,,,1.472e-7,1.895e-4,7.064e+1,,,
204.63,1.075e+2,,,,9.058e-7,1.375e-4,1.075e+2,,,
204.65,1.516e+2,,,,5.209e-6,9.608e-5,1.516e+2,,,
204.68,2.199e+2,,,,6.231e-5,5.300e-5,2.199e+2,,,
204.7,2.562e+2,,,,2.964e-4,3.503e-5,2.562e+2,,,
204.73,2.791e+2,,,,2.665e-3,2.039e-5,2.791e+2,,,
204.75,2.687e+2,,,,1.048e-2,1.736e-5,2.687e+2,,,
204.78,2.200e+2,,,,7.086e-2,2.258e-5,2.199e+2,,,
204.8,1.751e+2,,,,2.304e-1,3.353e-5,1.749e+2,,,
204.83,1.087e+2,,5.282e-18,,1.171e+0,6.291e-5,1.075e+2,,,
204.85,7.379e+1,,8.068e-17,,3.148e+0,9.059e-5,7.064e+1,,,
204.88,4.465e+1,,4.180e-15,,1.203e+1,1.379e-4,3.262e+1,,,
204.9,4.448e+1,,5.284e-14,,2.674e+1,1.666e-4,1.774e+1,,,
204.93,8.315e+1,,2.061e-12,,7.684e+1,1.920e-4,6.303e+0,,,
204.95,1.444e+2,,2.156e-11,,1.412e+2,1.920e-4,3.214e+0,,,
204.98,3.076e+2,,6.328e-10,,3.051e+2,1.664e-4,2.576e+0,,,
205,4.681e+2,,5.478e-9,,4.635e+2,1.376e-4,4.553e+0,,,
205.02,6.620e+2,,4.396e-8,,6.527e+2,1.054e-4,9.258e+0,,,
205.05,9.706e+2,,8.671e-7,,9.458e+2,6.123e-5,2.487e+1,,,
205.07,1.145e+3,,5.759e-6,,1.101e+3,3.876e-5,4.395e+1,,,
205.1,1.289e+3,,8.551e-5,,1.200e+3,1.693e-5,8.960e+1,,,
205.12,1.286e+3,,4.699e-4,,1.155e+3,8.858e-6,1.310e+2,,,
205.15,1.147e+3,,5.253e-3,,9.458e+2,2.909e-6,2.009e+2,,,
205.17,9.957e+2,,2.389e-2,,7.528e+2,1.264e-6,2.429e+2,,,
205.2,7.439e+2,,2.010e-1,,4.635e+2,3.413e-7,2.801e+2,,,
205.22,5.860e+2,,7.564e-1,,3.051e+2,1.887e-7,2.801e+2,,,
205.25,3.893e+2,,4.791e+0,,1.416e+2,2.870e-7,2.430e+2,,,
205.27,2.937e+2,,1.492e+1,,7.779e+1,5.593e-7,2.010e+2,,,
205.3,2.334e+2,,7.114e+1,,3.057e+1,1.460e-6,1.316e+2,,,
205.32,2.953e+2,,1.833e+2,,2.083e+1,2.587e-6,9.117e+1,,,
205.35,7.371e+2,,6.580e+2,,2.979e+1,5.627e-6,4.928e+1,,,
205.37,1.491e+3,,1.403e+3,,5.189e+1,9.179e-6,3.580e+1,,,
205.39,2.898e+3,,2.774e+3,,8.992e+1,1.497e-5,3.388e+1,,,
205.42,6.925e+3,,6.691e+3,,1.822e+2,3.198e-5,5.180e+1,,,
205.44,1.129e+4,,1.095e+4,,2.660e+2,5.362e-5,7.670e+1,,,
205.47,2.041e+4,,1.987e+4,,4.073e+2,1.135e-4,1.288e+2,,,
205.49,2.757e+4,,2.691e+4,,4.922e+2,1.792e-4,1.675e+2,,,
205.52,3.756e+4,,3.677e+4,,5.674e+2,3.230e-4,2.161e+2,,,
205.54,4.200e+4,,4.120e+4,,5.674e+2,4.447e-4,2.331e+2,,,
205.57,4.310e+4,,4.238e+4,,4.922e+2,6.398e-4,2.266e+2,,,
205.59,3.990e+4,,3.929e+4,,4.073e+2,7.557e-4,2.022e+2,,,
205.62,3.084e+4,,3.043e+4,,2.660e+2,8.716e-4,1.480e+2,,,
205.64,2.364e+4,,2.334e+4,,1.821e+2,8.987e-4,1.093e+2,,,
205.67,1.376e+4,,1.361e+4,,8.952e+1,8.688e-4,6.022e+1,,,
205.69,8.727e+3,,8.640e+3,,5.072e+1,8.169e-4,3.686e+1,,,
205.72,3.826e+3,,3.792e+3,,1.876e+1,7.281e-4,1.560e+1,,,
205.74,2.009e+3,,1.992e+3,,8.797e+0,6.831e-4,8.648e+0,,,
205.76,9.799e+2,,9.701e+2,,3.823e+0,6.627e-4,5.924e+0,,,
205.79,2.959e+2,,2.862e+2,,9.504e-1,6.870e-4,8.791e+0,,,
205.81,1.323e+2,,1.156e+2,,3.418e-1,7.344e-4,1.632e+1,,,
205.84,6.833e+1,,2.767e+1,,6.395e-2,8.277e-4,4.059e+1,,,
205.86,8.394e+1,,1.521e+1,,1.903e-2,8.908e-4,6.871e+1,,,
205.89,1.664e+2,,3.480e+1,,2.680e-3,9.905e-4,1.316e+2,,,
205.91,2.740e+2,,8.921e+1,,6.615e-4,1.098e-3,1.848e+2,,,
205.94,6.018e+2,,3.349e+2,,8.974e-5,1.514e-3,2.669e+2,,,
205.96,1.049e+3,,7.382e+2,,1.101e-4,2.200e-3,3.104e+2,,,
205.99,2.436e+3,,2.098e+3,,8.889e-4,4.578e-3,3.379e+2,,,
206.01,4.158e+3,,3.832e+3,,3.565e-3,7.670e-3,3.254e+2,,,
206.04,8.480e+3,,8.213e+3,,2.491e-2,1.560e-2,2.669e+2,,,
206.06,1.264e+4,,1.243e+4,,8.289e-2,2.330e-2,2.129e+2,,,
206.09,2.022e+4,,2.008e+4,,4.370e-1,3.738e-2,1.316e+2,,,
206.11,2.526e+4,,2.517e+4,,1.205e+0,4.679e-2,8.694e+1,,,
206.13,2.932e+4,,2.926e+4,,3.083e+0,5.439e-2,5.325e+1,,,
206.16,3.188e+4,,3.185e+4,,1.095e+1,5.925e-2,2.216e+1,,,
206.18,3.071e+4,,3.067e+4,,2.322e+1,5.712e-2,1.124e+1,,,
206.21,2.524e+4,,2.517e+4,,6.226e+1,4.696e-2,3.526e+0,,,
206.23,2.020e+4,,2.008e+4,,1.094e+2,3.752e-2,1.481e+0,,,
206.26,1.266e+4,,1.244e+4,,2.213e+2,2.327e-2,3.501e-1,,,
206.28,8.559e+3,,8.237e+3,,3.222e+2,1.541e-2,1.218e-1,,,
206.31,4.422e+3,,3.930e+3,,4.917e+2,7.209e-3,2.170e-2,,,
206.33,2.923e+3,,2.330e+3,,5.935e+2,3.956e-3,6.252e-3,,,
206.36,2.156e+3,,1.472e+3,,6.842e+2,1.397e-3,8.395e-4,,,
206.38,2.462e+3,,1.776e+3,,6.858e+2,6.360e-4,2.003e-4,,,
206.41,4.139e+3,,3.536e+3,,6.024e+2,1.712e-4,2.027e-5,,,
206.43,6.157e+3,,5.647e+3,,5.097e+2,6.682e-5,4.006e-6,,,
206.46,1.051e+4,,1.014e+4,,3.653e+2,1.793e-5,3.055e-7,,,
206.48,1.397e+4,,1.368e+4,,2.916e+2,1.114e-5,5.000e-8,,,
206.51,1.888e+4,,1.864e+4,,2.365e+2,1.501e-5,2.874e-9,,,
206.53,2.109e+4,,2.086e+4,,2.344e+2,2.988e-5,3.895e-10,,,
206.55,2.191e+4,,2.166e+4,,2.496e+2,7.163e-5,4.896e-11,,,
206.58,2.018e+4,,1.990e+4,,2.802e+2,2.847e-4,1.894e-12,,,
206.6,1.743e+4,,1.713e+4,,2.933e+2,6.824e-4,1.972e-13,,,
206.63,1.218e+4,,1.188e+4,,2.972e+2,2.247e-3,5.749e-15,,,
206.65,8.777e+3,,8.480e+3,,2.971e+2,4.551e-3,4.956e-16,,,
206.68,4.756e+3,,4.441e+3,,3.149e+2,1.144e-2,1.089e-17,,,
206.7,2.975e+3,,2.627e+3,,3.477e+2,1.928e-2,7.775e-19,,,
206.73,1.462e+3,,1.038e+3,,4.236e+2,3.671e-2,7.591e-19,,,
206.75,9.859e+2,,5.092e+2,,4.766e+2,5.137e-2,7.469e-19,,,
206.78,6.759e+2,,1.519e+2,,5.239e+2,7.394e-2,7.285e-19,,,
206.8,5.796e+2,,6.176e+1,,5.178e+2,8.585e-2,7.162e-19,,,
206.83,4.623e+2,,1.391e+1,,4.483e+2,9.337e-2,6.978e-19,,,
206.85,3.789e+2,,4.687e+0,,3.741e+2,8.993e-2,6.856e-19,,,
206.88,2.558e+2,,7.968e-1,,2.549e+2,7.391e-2,6.672e-19,,,
206.9,1.886e+2,,2.226e-1,,1.883e+2,5.907e-2,6.549e-19,,,
206.92,1.406e+2,,5.771e-2,,1.405e+2,4.382e-2,6.427e-19,,,
206.95,1.055e+2,,6.617e-3,,1.055e+2,2.439e-2,6.243e-19,,,
206.97,1.008e+2,,1.422e-3,,1.008e+2,1.509e-2,6.120e-19,,,
207,1.060e+2,,1.231e-4,,1.060e+2,6.491e-3,5.936e-19,,,
207.02,1.088e+2,,2.192e-5,,1.088e+2,3.471e-3,5.813e-19,,,
207.05,1.032e+2,,1.432e-6,,1.032e+2,1.330e-3,5.630e-19,,,
207.07,9.178e+1,,2.115e-7,,9.178e+1,7.459e-4,5.507e-19,,,
207.1,6.727e+1,,1.043e-8,,6.727e+1,3.784e-4,5.323e-19,,,
207.12,4.987e+1,,1.277e-9,,4.987e+1,2.647e-4,5.200e-19,,,
207.15,2.770e+1,,4.752e-11,,2.770e+1,1.567e-4,5.017e-19,,,
207.17,1.705e+1,,4.824e-12,,1.705e+1,1.053e-4,4.894e-19,,,
207.2,7.157e+0,,1.355e-13,,7.157e+0,5.169e-5,4.710e-19,,,
207.22,3.655e+0,,1.140e-14,,3.655e+0,2.960e-5,4.587e-19,,,
207.25,1.160e+0,,2.418e-16,,1.160e+0,1.158e-5,4.403e-19,,,
207.27,4.915e-1,,1.687e-17,,4.915e-1,6.234e-6,4.281e-19,,,
207.29,1.933e-1,,1.687e-17,,1.933e-1,3.984e-6,4.158e-19,,,
207.32,4.145e-2,,1.686e-17,,4.145e-2,3.763e-6,3.974e-19,,,
207.34,1.353e-2,,1.686e-17,,1.353e-2,4.649e-6,3.852e-19,,,
207.37,2.198e-3,,1.685e-17,,2.192e-3,6.415e-6,3.668e-19,,,
207.39,6.010e-4,,1.685e-17,,5.935e-4,7.420e-6,3.545e-19,,,
207.42,8.082e-5,,1.685e-17,,7.270e-5,8.115e-6,3.361e-19,,,
207.44,2.425e-5,,1.684e-17,,1.633e-5,7.918e-6,3.239e-19,,,
207.47,8.371e-6,,1.684e-17,,1.513e-6,6.858e-6,3.055e-19,,,
207.49,6.257e-6,,1.684e-17,,2.846e-7,5.973e-6,2.932e-19,,,
207.52,5.169e-6,,1.683e-17,,6.601e-8,5.103e-6,2.748e-19,,,
207.54,5.711e-6,,1.683e-17,,2.864e-7,5.425e-6,2.626e-19,,,
207.57,1.407e-5,,1.682e-17,,3.735e-6,1.033e-5,2.442e-19,,,
207.59,4.224e-5,,1.682e-17,,1.900e-5,2.324e-5,2.319e-19,,,
207.62,2.885e-4,,1.682e-17,,1.898e-4,9.865e-5,2.135e-19,,,
207.64,1.061e-3,,1.681e-17,,8.028e-4,2.585e-4,2.013e-19,,,
207.66,3.797e-3,,1.681e-17,,3.153e-3,6.437e-4,1.890e-19,,,
207.69,2.360e-2,,1.680e-17,,2.137e-2,2.232e-3,1.706e-19,,,
207.71,7.442e-2,,1.680e-17,,6.975e-2,4.675e-3,1.583e-19,,,
207.74,3.705e-1,,1.680e-17,,3.582e-1,1.235e-2,1.400e-19,,,
207.76,9.934e-1,,1.679e-17,,9.719e-1,2.151e-2,1.277e-19,,,
207.79,3.825e+0,,1.679e-17,,3.782e+0,4.306e-2,1.093e-19,,,
207.81,8.594e+0,,1.679e-17,,8.531e+0,6.236e-2,9.704e-20,,,
207.84,2.525e+1,,1.678e-17,,2.516e+1,9.457e-2,5.601e-18,,,
207.86,4.728e+1,,1.678e-17,,4.717e+1,1.138e-1,7.630e-17,,,
207.89,1.055e+2,,1.677e-17,,1.054e+2,1.307e-1,3.342e-15,,,
